time,Ch1,Ch2,Ch3
531,533.01,-641.32,430.32
532,528.12,-650.82,425.43
533,528.12,-650.82,425.43
534,533.01,-655.57,430.32
535,528.12,-660.32,425.43
536,533.01,-660.32,430.32
537,537.9,-660.32,435.21
538,537.9,-669.82,435.21
539,542.79,-669.82,440.1
540,547.68,-665.07,440.1
541,542.79,-679.32,440.1
542,552.57,-674.57,444.99
543,557.46,-674.57,449.88
544,547.68,-684.07,440.1
545,552.57,-684.07,444.99
546,557.46,-679.32,449.88
547,552.57,-693.57,444.99
548,557.46,-693.57,449.88
549,562.35,-693.57,454.77
550,562.35,-703.07,449.88
551,562.35,-703.07,454.77
552,567.24,-698.32,464.55
553,562.35,-707.82,459.66
554,567.24,-712.58,459.66
555,572.13,-707.82,469.44
556,567.24,-717.33,464.55
557,562.35,-722.08,459.66
558,577.02,-717.33,474.33
559,572.13,-726.83,469.44
560,572.13,-731.58,469.44
561,581.91,-722.08,474.33
562,581.91,-731.58,474.33
563,577.02,-741.08,469.44
564,586.8,-736.33,479.22
565,581.91,-741.08,479.22
566,577.02,-750.58,474.33
567,591.69,-745.83,484.11
568,591.69,-750.58,484.11
569,586.8,-760.08,479.22
570,591.69,-755.33,489
571,596.58,-760.08,489
572,591.69,-769.58,489
573,601.47,-764.83,493.89
574,601.47,-764.83,493.89
575,591.69,-779.08,489
576,601.47,-774.33,498.78
577,606.36,-774.33,498.78
578,601.47,-788.58,493.89
579,611.25,-783.83,503.67
580,616.14,-779.08,508.56
581,606.36,-798.08,498.78
582,616.14,-793.33,508.56
583,616.14,-793.33,513.45
584,606.36,-807.59,503.67
585,611.25,-802.83,508.56
586,616.14,-802.83,513.45
587,611.25,-817.09,508.56
588,621.03,-812.34,513.45
589,625.92,-812.34,523.23
590,621.03,-821.84,518.34
591,630.81,-821.84,523.23
592,635.7,-817.09,528.12
593,625.92,-831.34,523.23
594,635.7,-831.34,528.12
595,640.59,-826.59,533.01
596,630.81,-840.84,528.12
597,635.7,-840.84,528.12
598,640.59,-836.09,537.9
599,635.7,-850.34,528.12
600,640.59,-850.34,537.9
601,650.37,-845.59,542.79
602,640.59,-855.09,537.9
603,645.48,-864.59,537.9
604,655.26,-855.09,552.57
605,645.48,-869.34,542.79
606,645.48,-874.09,542.79
607,655.26,-864.59,552.57
608,655.26,-874.09,547.68
609,650.37,-883.59,547.68
610,665.04,-874.09,557.46
611,655.26,-883.59,552.57
612,655.26,-888.34,552.57
613,665.04,-883.59,562.35
614,660.15,-893.09,557.46
615,660.15,-897.84,557.46
616,669.93,-893.09,562.35
617,669.93,-902.6,562.35
618,665.04,-912.1,562.35
619,674.82,-907.35,572.13
620,674.82,-907.35,572.13
621,669.93,-921.6,567.24
622,679.71,-912.1,581.91
623,679.71,-916.85,577.02
624,669.93,-931.1,572.13
625,679.71,-926.35,581.91
626,684.6,-931.1,581.91
627,674.82,-940.6,577.02
628,689.49,-935.85,581.91
629,689.49,-935.85,586.8
630,684.6,-950.1,577.02
631,694.38,-945.35,591.69
632,699.27,-945.35,591.69
633,684.6,-964.35,581.91
634,689.49,-959.6,591.69
635,699.27,-954.85,596.58
636,684.6,-969.1,586.8
637,694.38,-969.1,596.58
638,704.16,-964.35,601.47
639,694.38,-978.6,596.58
640,704.16,-978.6,606.36
641,713.94,-973.85,611.25
642,704.16,-988.1,601.47
643,713.94,-983.35,606.36
644,723.72,-978.6,616.14
645,709.05,-997.61,606.36
646,713.94,-997.61,611.25
647,723.72,-988.1,621.03
648,713.94,-1007.1,611.25
649,713.94,-1007.1,611.25
650,728.61,-1002.4,621.03
651,718.83,-1016.6,616.14
652,723.72,-1016.6,616.14
653,738.39,-1011.9,630.81
654,723.72,-1021.4,621.03
655,723.72,-1030.9,621.03
656,738.39,-1021.4,635.7
657,733.5,-1035.6,630.81
658,723.72,-1040.4,630.81
659,738.39,-1030.9,640.59
660,738.39,-1045.1,635.7
661,733.5,-1049.9,630.81
662,743.28,-1045.1,640.59
663,743.28,-1054.6,640.59
664,738.39,-1064.1,635.7
665,748.17,-1054.6,645.48
666,748.17,-1059.4,645.48
667,738.39,-1068.9,640.59
668,753.06,-1064.1,655.26
669,753.06,-1068.9,650.37
670,743.28,-1083.1,645.48
671,757.95,-1073.6,660.15
672,757.95,-1078.4,655.26
673,748.17,-1097.4,650.37
674,762.84,-1083.1,660.15
675,762.84,-1087.9,660.15
676,757.95,-1102.1,655.26
677,762.84,-1097.4,660.15
678,772.62,-1097.4,669.93
679,757.95,-1116.4,660.15
680,767.73,-1106.9,665.04
681,772.62,-1106.9,674.82
682,767.73,-1121.1,669.93
683,772.62,-1121.1,669.93
684,772.62,-1116.4,674.82
685,762.84,-1135.4,669.93
686,767.73,-1135.4,669.93
687,777.51,-1125.9,679.71
688,772.62,-1135.4,674.82
689,777.51,-1135.4,674.82
690,782.4,-1130.6,679.71
691,777.51,-1140.1,674.82
692,777.51,-1144.9,679.71
693,787.29,-1130.6,684.6
694,782.4,-1144.9,679.71
695,782.4,-1144.9,679.71
696,787.29,-1135.4,689.49
697,777.51,-1144.9,679.71
698,777.51,-1149.6,679.71
699,787.29,-1135.4,684.6
700,777.51,-1144.9,679.71
701,777.51,-1149.6,674.82
702,787.29,-1140.1,684.6
703,777.51,-1144.9,679.71
704,777.51,-1144.9,679.71
705,787.29,-1135.4,684.6
706,782.4,-1144.9,679.71
707,777.51,-1149.6,679.71
708,787.29,-1140.1,679.71
709,782.4,-1144.9,679.71
710,777.51,-1149.6,679.71
711,787.29,-1144.9,684.6
712,777.51,-1144.9,679.71
713,777.51,-1149.6,679.71
714,782.4,-1144.9,679.71
715,782.4,-1144.9,679.71
716,772.62,-1154.4,679.71
717,782.4,-1144.9,684.6
718,782.4,-1144.9,684.6
719,777.51,-1154.4,674.82
720,782.4,-1144.9,684.6
721,782.4,-1144.9,679.71
722,777.51,-1149.6,679.71
723,782.4,-1144.9,684.6
724,782.4,-1144.9,679.71
725,777.51,-1149.6,679.71
726,782.4,-1140.1,684.6
727,782.4,-1144.9,679.71
728,777.51,-1149.6,674.82
729,782.4,-1144.9,684.6
730,782.4,-1144.9,679.71
731,772.62,-1149.6,679.71
732,782.4,-1144.9,684.6
733,782.4,-1144.9,679.71
734,772.62,-1154.4,674.82
735,777.51,-1149.6,679.71
736,777.51,-1149.6,674.82
737,772.62,-1154.4,674.82
738,777.51,-1144.9,684.6
739,782.4,-1149.6,679.71
740,777.51,-1154.4,674.82
741,787.29,-1149.6,679.71
742,787.29,-1144.9,684.6
743,777.51,-1154.4,674.82
744,787.29,-1144.9,684.6
745,792.18,-1144.9,684.6
746,777.51,-1154.4,679.71
747,782.4,-1144.9,684.6
748,787.29,-1144.9,684.6
749,777.51,-1154.4,674.82
750,782.4,-1149.6,679.71
751,787.29,-1140.1,684.6
752,777.51,-1159.1,674.82
753,782.4,-1144.9,684.6
754,787.29,-1144.9,684.6
755,777.51,-1154.4,679.71
756,782.4,-1149.6,679.71
757,787.29,-1140.1,689.49
758,777.51,-1149.6,674.82
759,782.4,-1149.6,679.71
760,787.29,-1144.9,689.49
761,772.62,-1154.4,674.82
762,782.4,-1149.6,679.71
763,792.18,-1144.9,684.6
764,777.51,-1154.4,679.71
765,777.51,-1154.4,679.71
766,792.18,-1140.1,689.49
767,777.51,-1154.4,674.82
768,777.51,-1149.6,679.71
769,792.18,-1140.1,689.49
770,772.62,-1154.4,679.71
771,777.51,-1154.4,679.71
772,792.18,-1140.1,689.49
773,777.51,-1154.4,679.71
774,777.51,-1154.4,674.82
775,792.18,-1140.1,689.49
776,777.51,-1154.4,674.82
777,772.62,-1159.1,674.82
778,792.18,-1140.1,689.49
779,782.4,-1154.4,679.71
780,777.51,-1154.4,674.82
781,792.18,-1135.4,689.49
782,777.51,-1154.4,679.71
783,772.62,-1159.1,674.82
784,787.29,-1144.9,689.49
785,772.62,-1154.4,674.82
786,767.73,-1163.9,669.93
787,787.29,-1144.9,684.6
788,772.62,-1154.4,679.71
789,767.73,-1163.9,669.93
790,792.18,-1140.1,684.6
791,777.51,-1149.6,679.71
792,767.73,-1163.9,669.93
793,792.18,-1144.9,684.6
794,782.4,-1149.6,679.71
795,772.62,-1159.1,674.82
796,787.29,-1144.9,689.49
797,787.29,-1149.6,684.6
798,767.73,-1163.9,669.93
799,787.29,-1144.9,684.6
800,782.4,-1144.9,679.71
801,767.73,-1163.9,665.04
802,792.18,-1144.9,684.6
803,787.29,-1144.9,684.6
804,767.73,-1163.9,669.93
805,782.4,-1144.9,684.6
806,792.18,-1140.1,684.6
807,762.84,-1168.6,669.93
808,782.4,-1144.9,684.6
809,787.29,-1144.9,689.49
810,767.73,-1163.9,665.04
811,782.4,-1144.9,684.6
812,787.29,-1140.1,689.49
813,767.73,-1163.9,669.93
814,782.4,-1149.6,684.6
815,792.18,-1135.4,694.38
816,767.73,-1163.9,669.93
817,782.4,-1149.6,679.71
818,797.07,-1135.4,694.38
819,767.73,-1163.9,669.93
820,777.51,-1154.4,679.71
821,797.07,-1135.4,694.38
822,767.73,-1163.9,669.93
823,782.4,-1154.4,679.71
